year,new_loss_km2,baseline_forest_area_km2,cumulative_loss_km2,percent_loss_of_baseline
2016,0.7137,1352.1879,0.7137,0.05278112605504014
2017,0.4977,1352.1879,1.2114,0.08958814081977809
2018,0.7803,1352.1879,1.9917,0.14729461785599474
2019,0.9891,1352.1879,2.9808,0.22044273580617013
2020,0.6606,1352.1879,3.6414,0.26929689283567765
2021,0.2763,1352.1879,3.9177,0.2897304435278559
2022,0.8136,1352.1879,4.7313,0.34989959605466076
2023,0.3132,1352.1879,5.0445,0.37306205742559895
2024,0.3537,1352.1879,5.3982,0.3992196646634688
2025,0.0,1352.1879,5.3982,0.3992196646634688
