scene_id,date,year,folder,file_red,file_nir,file_swir1,file_qa_pixel
LC08_L2SP_141055_20130526_20200913_02_T1,2013-05-26,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130526_20200913_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130526_20200913_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130526_20200913_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130526_20200913_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130611_20200912_02_T1,2013-06-11,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130611_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130611_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130611_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130611_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130627_20200912_02_T1,2013-06-27,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130627_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130627_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130627_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130627_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130713_20200912_02_T1,2013-07-13,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130713_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130713_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130713_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130713_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130729_20200912_02_T1,2013-07-29,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130729_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130729_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130729_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130729_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130814_20200913_02_T1,2013-08-14,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130814_20200913_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130814_20200913_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130814_20200913_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130814_20200913_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20130830_20200912_02_T1,2013-08-30,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130830_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130830_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130830_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20130830_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20131001_20200912_02_T1,2013-10-01,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131001_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131001_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131001_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131001_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20131017_20200912_02_T1,2013-10-17,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131017_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131017_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131017_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131017_20200912_02_T1_QA_PIXEL.TIF
LC08_L2SP_141055_20131118_20200912_02_T1,2013-11-18,2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131118_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131118_20200912_02_T1_SR_B5.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131118_20200912_02_T1_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2013\LC08_L2SP_141055_20131118_20200912_02_T1_QA_PIXEL.TIF
