scene_id,date,reason,folder
LC08_L2SP_141055_20140206_20200912_02_T1,2014-02-06,zero-byte LC08_L2SP_141055_20140206_20200912_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2014
LC08_L2SP_141055_20211108_20211117_02_T2,2021-11-08,zero-byte LC08_L2SP_141055_20211108_20211117_02_T2_SR_B6.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2021
LC09_L2SP_141055_20220119_20230501_02_T1,2022-01-19,zero-byte LC09_L2SP_141055_20220119_20230501_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20220308_20230425_02_T1,2022-03-08,zero-byte LC09_L2SP_141055_20220308_20230425_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20220324_20230424_02_T1,2022-03-24,zero-byte LC09_L2SP_141055_20220324_20230424_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20220628_20230409_02_T1,2022-06-28,zero-byte LC09_L2SP_141055_20220628_20230409_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20220714_20230407_02_T1,2022-07-14,zero-byte LC09_L2SP_141055_20220714_20230407_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20221002_20230327_02_T1,2022-10-02,zero-byte LC09_L2SP_141055_20221002_20230327_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20221205_20230318_02_T1,2022-12-05,zero-byte LC09_L2SP_141055_20221205_20230318_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2022
LC09_L2SP_141055_20230106_20230314_02_T1,2023-01-06,zero-byte LC09_L2SP_141055_20230106_20230314_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20230412_20230414_02_T1,2023-04-12,zero-byte LC09_L2SP_141055_20230412_20230414_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20230428_20230430_02_T1,2023-04-28,zero-byte LC09_L2SP_141055_20230428_20230430_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20230717_20230719_02_T1,2023-07-17,zero-byte LC09_L2SP_141055_20230717_20230719_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20230802_20230804_02_T1,2023-08-02,zero-byte LC09_L2SP_141055_20230802_20230804_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20231208_20231209_02_T1,2023-12-08,zero-byte LC09_L2SP_141055_20231208_20231209_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20231224_20231225_02_T1,2023-12-24,zero-byte LC09_L2SP_141055_20231224_20231225_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2023
LC09_L2SP_141055_20240125_20240126_02_T1,2024-01-25,zero-byte LC09_L2SP_141055_20240125_20240126_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240210_20240213_02_T1,2024-02-10,zero-byte LC09_L2SP_141055_20240210_20240213_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240226_20240228_02_T1,2024-02-26,zero-byte LC09_L2SP_141055_20240226_20240228_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240414_20240415_02_T1,2024-04-14,zero-byte LC09_L2SP_141055_20240414_20240415_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240430_20240502_02_T1,2024-04-30,zero-byte LC09_L2SP_141055_20240430_20240502_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240719_20240720_02_T1,2024-07-19,zero-byte LC09_L2SP_141055_20240719_20240720_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240804_20240805_02_T1,2024-08-04,zero-byte LC09_L2SP_141055_20240804_20240805_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240905_20240906_02_T1,2024-09-05,zero-byte LC09_L2SP_141055_20240905_20240906_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20240921_20240924_02_T1,2024-09-21,zero-byte LC09_L2SP_141055_20240921_20240924_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2024
LC09_L2SP_141055_20250212_20250213_02_T1,2025-02-12,zero-byte LC09_L2SP_141055_20250212_20250213_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC08_L2SP_141055_20250324_20250331_02_T1,2025-03-24,zero-byte LC08_L2SP_141055_20250324_20250331_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250417_20250418_02_T1,2025-04-17,zero-byte LC09_L2SP_141055_20250417_20250418_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250503_20250504_02_T1,2025-05-03,zero-byte LC09_L2SP_141055_20250503_20250504_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250604_20250605_02_T1,2025-06-04,zero-byte LC09_L2SP_141055_20250604_20250605_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250620_20250621_02_T1,2025-06-20,zero-byte LC09_L2SP_141055_20250620_20250621_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250823_20250824_02_T1,2025-08-23,zero-byte LC09_L2SP_141055_20250823_20250824_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20250908_20250910_02_T1,2025-09-08,zero-byte LC09_L2SP_141055_20250908_20250910_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20251010_20251011_02_T1,2025-10-10,zero-byte LC09_L2SP_141055_20251010_20251011_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC08_L2SP_141055_20251103_20251125_02_T1,2025-11-03,zero-byte LC08_L2SP_141055_20251103_20251125_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
LC09_L2SP_141055_20251111_20251115_02_T1,2025-11-11,zero-byte LC09_L2SP_141055_20251111_20251115_02_T1_SR_B4.TIF,C:\Users\User\Desktop\Deforestation\Deforestation\Landsat_By_Year\2025
