year,n_used_scenes,used_scenes
2013,11,LC08_L2SP_141055_20130526_20200913_02_T1|LC08_L2SP_141055_20130611_20200912_02_T1|LC08_L2SP_141055_20130627_20200912_02_T1|LC08_L2SP_141055_20130713_20200912_02_T1|LC08_L2SP_141055_20130729_20200912_02_T1|LC08_L2SP_141055_20130814_20200913_02_T1|LC08_L2SP_141055_20130830_20200912_02_T1|LC08_L2SP_141055_20131001_20200912_02_T1|LC08_L2SP_141055_20131017_20200912_02_T1|LC08_L2SP_141055_20131118_20200912_02_T1|LC08_L2SP_141055_20131220_20200912_02_T1
2014,14,LC08_L2SP_141055_20140121_20200912_02_T1|LC08_L2SP_141055_20140222_20200911_02_T1|LC08_L2SP_141055_20140310_20200911_02_T1|LC08_L2SP_141055_20140326_20200911_02_T1|LC08_L2SP_141055_20140411_20200911_02_T1|LC08_L2SP_141055_20140427_20200911_02_T1|LC08_L2SP_141055_20140513_20200911_02_T1|LC08_L2SP_141055_20140529_20200911_02_T1|LC08_L2SP_141055_20140614_20200911_02_T1|LC08_L2SP_141055_20140630_20200911_02_T1|LC08_L2SP_141055_20140716_20200911_02_T1|LC08_L2SP_141055_20140902_20200911_02_T1|LC08_L2SP_141055_20141004_20200910_02_T1|LC08_L2SP_141055_20141020_20200910_02_T1
2015,14,LC08_L2SP_141055_20150108_20200910_02_T1|LC08_L2SP_141055_20150124_20200910_02_T1|LC08_L2SP_141055_20150225_20200909_02_T1|LC08_L2SP_141055_20150329_20200909_02_T1|LC08_L2SP_141055_20150414_20200909_02_T1|LC08_L2SP_141055_20150430_20200909_02_T1|LC08_L2SP_141055_20150601_20200909_02_T1|LC08_L2SP_141055_20150703_20200909_02_T1|LC08_L2SP_141055_20150804_20200908_02_T1|LC08_L2SP_141055_20150820_20200908_02_T1|LC08_L2SP_141055_20150921_20200908_02_T1|LC08_L2SP_141055_20151007_20200908_02_T1|LC08_L2SP_141055_20151124_20200908_02_T1|LC08_L2SP_141055_20151226_20200908_02_T1
2016,17,LC08_L2SP_141055_20160111_20200907_02_T1|LC08_L2SP_141055_20160127_20200907_02_T1|LC08_L2SP_141055_20160212_20200907_02_T1|LC08_L2SP_141055_20160228_20200907_02_T1|LC08_L2SP_141055_20160315_20200907_02_T1|LC08_L2SP_141055_20160331_20200907_02_T1|LC08_L2SP_141055_20160416_20200907_02_T1|LC08_L2SP_141055_20160502_20200907_02_T1|LC08_L2SP_141055_20160705_20200906_02_T1|LC08_L2SP_141055_20160721_20200906_02_T1|LC08_L2SP_141055_20160806_20200906_02_T1|LC08_L2SP_141055_20160907_20200906_02_T1|LC08_L2SP_141055_20161009_20200905_02_T1|LC08_L2SP_141055_20161025_20200905_02_T1|LC08_L2SP_141055_20161110_20200905_02_T1|LC08_L2SP_141055_20161212_20200905_02_T1|LC08_L2SP_141055_20161228_20200905_02_T1
2017,16,LC08_L2SP_141055_20170113_20200905_02_T1|LC08_L2SP_141055_20170129_20200905_02_T1|LC08_L2SP_141055_20170318_20200904_02_T1|LC08_L2SP_141055_20170403_20200904_02_T1|LC08_L2SP_141055_20170419_20200904_02_T1|LC08_L2SP_141055_20170505_20200904_02_T1|LC08_L2SP_141055_20170606_20200903_02_T1|LC08_L2SP_141055_20170622_20200903_02_T1|LC08_L2SP_141055_20170708_20200903_02_T1|LC08_L2SP_141055_20170724_20200903_02_T1|LC08_L2SP_141055_20170809_20200903_02_T1|LC08_L2SP_141055_20170825_20200903_02_T1|LC08_L2SP_141055_20171028_20200902_02_T1|LC08_L2SP_141055_20171113_20200902_02_T1|LC08_L2SP_141055_20171215_20200902_02_T1|LC08_L2SP_141055_20171231_20200902_02_T1
2018,15,LC08_L2SP_141055_20180201_20200902_02_T1|LC08_L2SP_141055_20180217_20200902_02_T1|LC08_L2SP_141055_20180305_20200901_02_T1|LC08_L2SP_141055_20180321_20200901_02_T1|LC08_L2SP_141055_20180422_20201015_02_T1|LC08_L2SP_141055_20180508_20200901_02_T1|LC08_L2SP_141055_20180625_20200831_02_T1|LC08_L2SP_141055_20180727_20200831_02_T1|LC08_L2SP_141055_20180828_20200831_02_T1|LC08_L2SP_141055_20180913_20200830_02_T1|LC08_L2SP_141055_20180929_20200830_02_T1|LC08_L2SP_141055_20181015_20200830_02_T1|LC08_L2SP_141055_20181116_20200830_02_T1|LC08_L2SP_141055_20181202_20200830_02_T1|LC08_L2SP_141055_20181218_20200830_02_T1
2019,15,LC08_L2SP_141055_20190103_20200829_02_T1|LC08_L2SP_141055_20190204_20200829_02_T2|LC08_L2SP_141055_20190220_20200829_02_T1|LC08_L2SP_141055_20190308_20200829_02_T1|LC08_L2SP_141055_20190324_20200829_02_T1|LC08_L2SP_141055_20190409_20200829_02_T1|LC08_L2SP_141055_20190425_20200829_02_T1|LC08_L2SP_141055_20190511_20200828_02_T1|LC08_L2SP_141055_20190527_20200828_02_T1|LC08_L2SP_141055_20190628_20200827_02_T1|LC08_L2SP_141055_20190714_20200827_02_T1|LC08_L2SP_141055_20190730_20200827_02_T1|LC08_L2SP_141055_20191018_20200825_02_T1|LC08_L2SP_141055_20191119_20200825_02_T1|LC08_L2SP_141055_20191205_20200825_02_T2
2020,14,LC08_L2SP_141055_20200106_20200823_02_T1|LC08_L2SP_141055_20200223_20200822_02_T1|LC08_L2SP_141055_20200310_20200822_02_T1|LC08_L2SP_141055_20200326_20200822_02_T1|LC08_L2SP_141055_20200411_20200822_02_T1|LC08_L2SP_141055_20200427_20200822_02_T1|LC08_L2SP_141055_20200529_20200820_02_T1|LC08_L2SP_141055_20200614_20200823_02_T1|LC08_L2SP_141055_20200817_20200920_02_T1|LC08_L2SP_141055_20201004_20201015_02_T1|LC08_L2SP_141055_20201020_20201106_02_T1|LC08_L2SP_141055_20201121_20210315_02_T1|LC08_L2SP_141055_20201207_20210313_02_T1|LC08_L2SP_141055_20201223_20210310_02_T1
2021,18,LC08_L2SP_141055_20210124_20210305_02_T1|LC08_L2SP_141055_20210209_20210302_02_T1|LC08_L2SP_141055_20210225_20210304_02_T1|LC08_L2SP_141055_20210313_20210318_02_T1|LC08_L2SP_141055_20210329_20210402_02_T1|LC08_L2SP_141055_20210414_20210423_02_T1|LC08_L2SP_141055_20210601_20210608_02_T1|LC08_L2SP_141055_20210617_20210622_02_T1|LC08_L2SP_141055_20210719_20210729_02_T1|LC08_L2SP_141055_20210804_20210811_02_T1|LC08_L2SP_141055_20210820_20210827_02_T1|LC08_L2SP_141055_20210905_20210910_02_T1|LC08_L2SP_141055_20210921_20210925_02_T1|LC08_L2SP_141055_20211007_20211013_02_T1|LC08_L2SP_141055_20211023_20211103_02_T1|LC08_L2SP_141055_20211210_20211215_02_T1|LC09_L2SP_141055_20211218_20230504_02_T1|LC08_L2SP_141055_20211226_20211230_02_T1
2022,17,LC08_L2SP_141055_20220111_20220122_02_T1|LC09_L2SP_141055_20220204_20230429_02_T1|LC09_L2SP_141055_20220220_20230427_02_T1|LC08_L2SP_141055_20220228_20220309_02_T1|LC08_L2SP_141055_20220401_20220406_02_T1|LC09_L2SP_141055_20220409_20230422_02_T1|LC08_L2SP_141055_20220417_20220420_02_T1|LC08_L2SP_141055_20220519_20220525_02_T1|LC09_L2SP_141055_20220527_20230415_02_T1|LC08_L2SP_141055_20220620_20220630_02_T1|LC09_L2SP_141055_20220815_20230402_02_T1|LC09_L2SP_141055_20220916_20230329_02_T1|LC08_L2SP_141055_20220924_20220929_02_T1|LC08_L2SP_141055_20221010_20221013_02_T1|LC08_L2SP_141055_20221127_20221206_02_T1|LC08_L2SP_141055_20221213_20221228_02_T1|LC08_L2SP_141055_20221229_20230104_02_T1
2023,21,LC08_L2SP_141055_20230114_20230130_02_T1|LC08_L2SP_141055_20230130_20230208_02_T1|LC08_L2SP_141055_20230215_20230222_02_T1|LC09_L2SP_141055_20230223_20230308_02_T1|LC08_L2SP_141055_20230303_20230316_02_T1|LC08_L2SP_141055_20230319_20230324_02_T1|LC09_L2SP_141055_20230327_20230329_02_T1|LC08_L2SP_141055_20230404_20230412_02_T1|LC08_L2SP_141055_20230420_20230429_02_T1|LC08_L2SP_141055_20230522_20230602_02_T1|LC09_L2SP_141055_20230530_20230601_02_T1|LC08_L2SP_141055_20230607_20230614_02_T1|LC09_L2SP_141055_20230615_20230617_02_T1|LC08_L2SP_141055_20230623_20230630_02_T1|LC08_L2SP_141055_20230709_20230718_02_T1|LC08_L2SP_141055_20230810_20230812_02_T1|LC09_L2SP_141055_20230818_20230822_02_T1|LC08_L2SP_141055_20230826_20230905_02_T1|LC08_L2SP_141055_20231029_20231101_02_T1|LC09_L2SP_141055_20231106_20231107_02_T1|LC08_L2SP_141055_20231130_20231209_02_T1
2024,22,LC08_L2SP_141055_20240117_20240130_02_T1|LC08_L2SP_141055_20240202_20240208_02_T1|LC08_L2SP_141055_20240218_20240223_02_T1|LC08_L2SP_141055_20240305_20240315_02_T1|LC09_L2SP_141055_20240313_20240315_02_T1|LC09_L2SP_141055_20240329_20240403_02_T1|LC08_L2SP_141055_20240406_20240412_02_T1|LC08_L2SP_141055_20240422_20240430_02_T1|LC08_L2SP_141055_20240508_20240514_02_T1|LC09_L2SP_141055_20240617_20240618_02_T1|LC09_L2SP_141055_20240703_20240704_02_T1|LC08_L2SP_141055_20240711_20240719_02_T1|LC08_L2SP_141055_20240812_20240815_02_T1|LC08_L2SP_141055_20240828_20240831_02_T1|LC08_L2SP_141055_20240913_20240920_02_T1|LC08_L2SP_141055_20240929_20241005_02_T1|LC08_L2SP_141055_20241031_20241105_02_T1|LC08_L2SP_141055_20241116_20241119_02_T1|LC08_L2SP_141055_20241202_20241209_02_T1|LC09_L2SP_141055_20241210_20241211_02_T1|LC08_L2SP_141055_20241218_20241227_02_T1|LC09_L2SP_141055_20241226_20241227_02_T1
